start,prev,end,delta
2010,,2011,-14
2011,-14,2012,-5
2013,25,2014,-2
2013,4,2014,14
2014,14,2015,-20
2013,4,2014,14
2011,-23,2012,-1
2014,20,2015,10
2010,,2011,-17
2011,-17,2012,-12
2012,-12,2013,6
2010,,2011,-7
2014,59,2015,-44
2010,,2011,-26
2011,-16,2012,-3
2013,10,2014,-5
2014,-5,2015,12
2012,-12,2013,9
2014,8,2015,15
2011,4,2012,-19
2010,,2011,-11
2012,-6,2013,1
2013,1,2014,-5
2010,,2011,-14
2011,-14,2012,-8
2012,-8,2013,2
2013,2,2014,-1
2010,,2011,-14
2012,-15,2013,19
2013,19,2014,9
2011,-44,2012,-2
2010,,2011,-44
2011,-44,2012,-2
2011,-44,2012,-2
2013,26,2014,-44
2014,-44,2015,34
2010,,2011,6
2012,-7,2013,39
2011,-57,2012,46
2014,6,2015,-49
2010,,2011,-18
2011,-9,2012,-13
2012,-13,2013,6
2013,6,2014,-2
2010,,2011,-6
2010,,2011,-6
2013,14,2014,60
2011,-6,2012,-1
2012,-21,2013,17
2013,13,2014,62
2011,-49,2012,15
2014,52,2015,-16
2011,-20,2012,-19
2013,1,2014,165
2014,165,2015,-65
2012,-6,2013,29
2011,-10,2012,-6
2010,,2011,-10
2010,,2011,-21
2012,-14,2013,36
2013,36,2014,-5
2012,-18,2013,39
2013,39,2014,-15
2014,-15,2015,-8
2010,,2011,22
2013,25,2014,17
2011,-14,2012,16
2012,16,2013,34
2014,19,2015,-34
2010,,2011,-7
2011,-7,2012,-13
2012,-13,2013,16
2012,-6,2013,0
2014,9,2015,-9
2011,-26,2012,7
2014,9,2015,-9
2014,9,2015,-9
2010,,2011,-26
2012,7,2013,12
2013,68,2014,6
2014,6,2015,-40
2012,5,2013,4
2013,4,2014,23
2014,23,2015,-22
2012,3,2013,7
2014,64,2015,-36
2011,-33,2012,3
2012,3,2013,7
2013,7,2014,64
2012,-10,2013,6
2013,6,2014,19
2010,,2011,-10
2011,-10,2012,-29
2012,-29,2013,16
2013,16,2014,8
2011,-8,2012,-21
2012,-21,2013,-15
2012,29,2013,-18
2013,-18,2014,-4
2010,,2011,-24
2011,-24,2012,-18
2012,-18,2013,10
2013,10,2014,25
2012,2,2013,-7
2014,9,2015,-16
2010,,2011,-14
2011,-14,2012,-16
2012,-16,2013,15
2013,15,2014,12
2014,12,2015,8
2014,26,2015,-7
2011,-23,2012,-20
2014,5,2015,-5
2010,,2011,-23
2012,-7,2013,6
2013,6,2014,11
2014,11,2015,-10
2012,4,2013,-1
2013,-1,2014,-5
2010,,2011,-17
2010,,2011,-17
2013,16,2014,15
2011,-17,2012,0
2011,-7,2012,4
2011,-30,2012,-15
2012,-15,2013,1
2011,-17,2012,-16
2014,-14,2015,12
2011,-31,2012,26
2012,26,2013,62
2012,26,2013,62
2014,-33,2015,54
2010,,2011,-15
2013,101,2014,-10
2010,,2011,-15
2010,,2011,16
2011,16,2012,21
